Species,Rank,Factor Score,Last Assessed,New Research,Issues Can be Addressed,Survey Abundance,Survey Composition,Management Group
Arrowtooth flounder,17,3,2017,0,0,1,2,species specific
Aurora rockfish,2,6,2013,1,0,2,3,minor slope rockfish
Bank rockfish,7,5,NA,1,0,3,1,minor slope rockfish
Big skate,34,0,2019,0,0,0,0,species specific
Black rockfish,34,0,2023,0,0,0,0,species specific
Blackgill rockfish,23,2,2017,0,0,1,1,minor slope rockfish
Blue/Deacon rockfish,34,0,2017,0,0,0,0,minor nearshore rockfish
Bocaccio,17,3,2017,0,0,1,2,species specific
Brown rockfish,34,0,2013,0,0,0,0,minor nearshore rockfish
Cabezon,34,0,2019,0,0,0,0,other groundfish
California scorpionfish,34,0,2017,0,0,0,0,species specific
Canary rockfish,34,0,2023,0,0,0,0,species specific
Chilipepper,14,4,2015,1,0,1,2,species specific
China rockfish,34,0,2015,0,0,0,0,minor nearshore rockfish
Copper rockfish,34,0,2023,0,0,0,0,minor nearshore rockfish
Cowcod,34,0,2019,0,0,0,0,minor shelf rockfish
Curlfin sole,7,5,NA,0,0,3,2,other flatfish
Darkblotched rockfish,17,3,2017,0,0,1,2,species specific
Dover sole,17,3,2021,1,0,0,2,species specific
English sole,7,5,2013,0,0,2,3,species specific
Flag rockfish,34,0,NA,0,0,0,0,minor shelf rockfish
Flathead sole,7,5,NA,0,0,3,2,other flatfish
Gopher/Black and Yellow rockfish,34,0,2019,0,0,0,0,minor nearshore rockfish
Grass rockfish,34,0,NA,0,0,0,0,minor nearshore rockfish
Greenspotted rockfish,14,4,2011,0,0,2,2,minor shelf rockfish
Greenstriped rockfish,7,5,2009,0,0,2,3,minor shelf rockfish
Honeycomb rockfish,34,0,NA,0,0,0,0,minor shelf rockfish
Kelp greenling,34,0,2015,0,0,0,0,other groundfish
Kelp rockfish,34,0,NA,0,0,0,0,minor nearshore rockfish
Leopard shark,34,0,NA,0,0,0,0,other groundfish
Lingcod,30,1,2021,0,0,0,1,species specific
Longnose skate,23,2,2019,0,0,0,2,species specific
Longspine thornyhead,7,5,2013,0,0,2,3,species specific
Olive rockfish,34,0,NA,0,0,0,0,minor nearshore rockfish
Pacific cod,30,1,NA,0,0,0,1,species specific
Pacific ocean perch,23,2,2017,0,0,1,1,species specific
Pacific sanddab,2,6,NA,0,0,3,3,other flatfish
Pacific spiny dogfish,34,0,2021,0,0,0,0,species specific
Petrale sole,34,0,2023,0,0,0,0,species specific
Quillback rockfish,34,0,2021,0,0,0,0,minor nearshore rockfish
Redbanded rockfish,7,5,NA,1,0,3,1,minor slope rockfish
Redstripe rockfish,23,2,NA,0,0,0,2,minor shelf rockfish
Rex sole,34,0,2023,0,0,0,0,other flatfish
Rock sole,34,0,NA,0,0,0,0,other flatfish
Rosethorn rockfish,2,6,NA,0,0,3,3,minor shelf rockfish
Rosy rockfish,34,0,NA,0,0,0,0,minor shelf rockfish
Rougheye/Blackspotted rockfish,23,2,2013,2,0,0,0,minor slope rockfish
Sablefish,23,2,2023,1,0,0,1,species specific
Sand sole,34,0,NA,0,0,0,0,other flatfish
Sharpchin rockfish,2,6,2013,0,0,3,3,minor slope rockfish
Shortraker rockfish,34,0,NA,0,0,0,0,minor slope rockfish
Shortspine thornyhead,30,1,2023,0,0,0,1,species specific
Silvergray rockfish,34,0,NA,0,0,0,0,minor shelf rockfish
Speckled rockfish,17,3,NA,0,0,2,1,minor shelf rockfish
Splitnose rockfish,1,7,2009,2,0,2,3,minor slope rockfish
Squarespot rockfish,34,0,2021,0,0,0,0,minor shelf rockfish
Starry flounder,34,0,NA,0,0,0,0,species specific
Starry rockfish,14,4,NA,0,0,3,1,minor shelf rockfish
Stripetail rockfish,2,6,NA,0,0,3,3,minor shelf rockfish
Treefish,34,0,NA,0,0,0,0,minor nearshore rockfish
Vermilion/Sunset rockfish,23,2,2021,0,0,0,2,minor shelf rockfish
Widow rockfish,30,1,2019,1,0,0,0,species specific
Yelloweye rockfish,34,0,2017,0,0,0,0,species specific
Yellowmouth rockfish,34,0,NA,0,0,0,0,minor slope rockfish
Yellowtail rockfish,17,3,2017,1,0,0,2,species specific
