Species,Status,PSA_Score
Arrowtooth flounder,0.87,1.21
Aurora rockfish,0.64,2.1
Bank rockfish,NA,2.02
Big skate,0.791966061,1.99
Black rockfish,0.451994996,1.94
Blackgill rockfish,0.39,2.08
Blue/Deacon rockfish,0.42,2.01
Bocaccio,0.49,1.93
Cabezon,0.528438127,1.48
California scorpionfish,0.54,1.41
Canary rockfish,0.3507304,2.01
Chilipepper rockfish ,0.832468001,1.35
China rockfish,0.46,2.23
Copper rockfish,0.683374867,2.27
Cowcod ,0.571400205,2.13
Darkblotched rockfish,0.4,1.92
Dover sole,0.84,1.54
English sole,0.88,1.19
Flathead sole,NA,1.03
Greenspotted rockfish,0.35,1.98
Greenstriped rockfish,0.81,1.88
Kelp greenling,NA,1.56
Lingcod,0.491365352,1.55
Longnose skate,0.565009304,1.68
Longspine thornyhead,0.75,1.53
Pacific cod,NA,1.34
Pacific ocean perch,0.77,1.69
Pacific sanddab,NA,1.25
Pacific spiny dogfish,0.63,2.13
Petrale sole,0.33551743,1.94
Quillback rockfish,0.429564711,2.22
Redbanded rockfish,NA,2.02
Redstripe rockfish,NA,2.16
Rex sole,0.761236541,1.28
Rosethorn rockfish,NA,2.09
Rougheye/Blackspotted rockfish,0.47,2.27
Sablefish ,0.339182321,1.64
Sharpchin rockfish,0.68,2.05
Shortraker rockfish,NA,2.25
Shortspine thornyhead ,0.393620317,1.8
Silvergray rockfish,NA,2.02
Splitnose rockfish,0.66,1.82
Squarespot rockfish,0.374634922,1.86
Starry rockfish,NA,2.09
Stripetail rockfish,NA,1.8
Vermilion/Sunset rockfish,0.456386721,2.05
Widow rockfish,0.500772117,2.05
Yelloweye rockfish,0.401370422,2
Yellowmouth rockfish,NA,1.96
Yellowtail rockfish,0.62556954,1.88
